t,i,bin,active,activation_count,update_count,reacquisition_count,unresolved_count,raw_crossing_count,source_time,handoff_inventory,inventory,cumulative_edge_outflow,cumulative_work,thickness,midpoint,radius,width,delta,face_flux_inner,face_flux_outer
0.02049999999999933,82021,4,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.505248769359932e-05,-0.015514337383431269,7.031250000000001e-05,1.5625e-05,1.953125e-05,-1.1028423714533366e-12,-2.5970049906715817e-12
0.02049999999999933,82021,5,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.460490727253197e-05,-0.01551441627492017,8.593749999999998e-05,1.5625e-05,1.953125e-05,-2.5970049906715817e-12,-5.1154271246514525e-12
0.02049999999999933,82021,6,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.413463099178616e-05,-0.015514524481059182,0.0001015625,1.5625e-05,1.953125e-05,-5.1154271246514525e-12,-8.737248476220459e-12
0.02049999999999933,82021,7,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.356856727655753e-05,-0.015514739154197103,0.0001171875,1.5625e-05,1.953125e-05,-8.737248476220459e-12,-1.3427513700769545e-11
0.02049999999999933,82021,8,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.302943914748871e-05,-0.015515015784542747,0.0001328125,1.5625e-05,1.953125e-05,-1.3427513700769545e-11,-1.9119171660320425e-11
0.02049999999999933,82021,9,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.255107092552785e-05,-0.015515332226864456,0.0001484375,1.5625e-05,1.953125e-05,-1.9119171660320425e-11,-2.5730294945275143e-11
0.02049999999999933,82021,10,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.205229092431323e-05,-0.0155157573572024,0.0001640625,1.5625e-05,1.953125e-05,-2.5730294945275143e-11,-3.308709586896594e-11
0.02049999999999933,82021,11,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.158055731584292e-05,-0.015516298991760448,0.0001796875,1.5625e-05,1.953125e-05,-3.308709586896594e-11,-4.125143995032567e-11
0.02049999999999933,82021,12,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.109241271469113e-05,-0.015516970563717071,0.0001953125,1.5625e-05,1.953125e-05,-4.125143995032567e-11,-5.013968786870821e-11
0.02049999999999933,82021,13,1,1,51656,0,13,13,0.007585749999999861,9.438161329969584e-11,5.359663911257377e-11,4.0784974187122493e-11,-4.805073311648138e-12,6.0695487769983665e-05,-0.01551773095681104,0.0002109375,1.5625e-05,1.953125e-05,-5.013968786870821e-11,-5.986820512465966e-11
